id,path,label
TRAIN_0000,/content/drive/My Drive/CremaD/train/TRAIN_0000.wav,5
TRAIN_0001,/content/drive/My Drive/CremaD/train/TRAIN_0001.wav,2
TRAIN_0002,/content/drive/My Drive/CremaD/train/TRAIN_0002.wav,0
TRAIN_0003,/content/drive/My Drive/CremaD/train/TRAIN_0003.wav,5
TRAIN_0004,/content/drive/My Drive/CremaD/train/TRAIN_0004.wav,1
TRAIN_0005,/content/drive/My Drive/CremaD/train/TRAIN_0005.wav,4
TRAIN_0006,/content/drive/My Drive/CremaD/train/TRAIN_0006.wav,2
TRAIN_0007,/content/drive/My Drive/CremaD/train/TRAIN_0007.wav,1
TRAIN_0008,/content/drive/My Drive/CremaD/train/TRAIN_0008.wav,3
TRAIN_0009,/content/drive/My Drive/CremaD/train/TRAIN_0009.wav,1
TRAIN_0010,/content/drive/My Drive/CremaD/train/TRAIN_0010.wav,0
TRAIN_0011,/content/drive/My Drive/CremaD/train/TRAIN_0011.wav,3
TRAIN_0012,/content/drive/My Drive/CremaD/train/TRAIN_0012.wav,5
TRAIN_0013,/content/drive/My Drive/CremaD/train/TRAIN_0013.wav,0
TRAIN_0014,/content/drive/My Drive/CremaD/train/TRAIN_0014.wav,0
TRAIN_0015,/content/drive/My Drive/CremaD/train/TRAIN_0015.wav,2
TRAIN_0016,/content/drive/My Drive/CremaD/train/TRAIN_0016.wav,1
TRAIN_0017,/content/drive/My Drive/CremaD/train/TRAIN_0017.wav,4
TRAIN_0018,/content/drive/My Drive/CremaD/train/TRAIN_0018.wav,3
TRAIN_0019,/content/drive/My Drive/CremaD/train/TRAIN_0019.wav,2
TRAIN_0020,/content/drive/My Drive/CremaD/train/TRAIN_0020.wav,4
TRAIN_0021,/content/drive/My Drive/CremaD/train/TRAIN_0021.wav,0
TRAIN_0022,/content/drive/My Drive/CremaD/train/TRAIN_0022.wav,1
TRAIN_0023,/content/drive/My Drive/CremaD/train/TRAIN_0023.wav,3
TRAIN_0024,/content/drive/My Drive/CremaD/train/TRAIN_0024.wav,3
TRAIN_0025,/content/drive/My Drive/CremaD/train/TRAIN_0025.wav,4
TRAIN_0026,/content/drive/My Drive/CremaD/train/TRAIN_0026.wav,3
TRAIN_0027,/content/drive/My Drive/CremaD/train/TRAIN_0027.wav,4
TRAIN_0028,/content/drive/My Drive/CremaD/train/TRAIN_0028.wav,4
TRAIN_0029,/content/drive/My Drive/CremaD/train/TRAIN_0029.wav,2
TRAIN_0030,/content/drive/My Drive/CremaD/train/TRAIN_0030.wav,5
TRAIN_0031,/content/drive/My Drive/CremaD/train/TRAIN_0031.wav,3
TRAIN_0032,/content/drive/My Drive/CremaD/train/TRAIN_0032.wav,1
TRAIN_0033,/content/drive/My Drive/CremaD/train/TRAIN_0033.wav,1
